technology,variable,value,unit,year,type
PV,Constructiontime,0.5,Years,2025,Generation
PV,Efficiency,1,%,2025,Generation
PV,FOM,12,$/kW,2025,Generation
PV,VOM,0,$/MWh,2025,Generation
PV,CCS,0,$/MWh,2025,Generation
PV,Fuel_low,0,$/GJ,2025,Generation
PV,CF_low,0.32,%,2025,Generation
PV,Fuel_high,0,$/GJ,2025,Generation
PV,CF_high,0.19,%,2025,Generation
PV,Economiclife,30,Years,2030,Generation
PV,Constructiontime,0.5,Years,2030,Generation
PV,Efficiency,1,%,2030,Generation
PV,FOM,12,$/kW,2030,Generation
PV,VOM,0,$/MWh,2030,Generation
PV,CCS,0,$/MWh,2030,Generation
PV,Fuel_low,0,$/GJ,2030,Generation
PV,CF_low,0.32,%,2030,Generation
PV,Fuel_high,0,$/GJ,2030,Generation
PV,CF_high,0.19,%,2030,Generation
PV,Economiclife,30,Years,2040,Generation
PV,Constructiontime,0.5,Years,2040,Generation
PV,Efficiency,1,%,2040,Generation
PV,FOM,12,$/kW,2040,Generation
PV,VOM,0,$/MWh,2040,Generation
PV,CCS,0,$/MWh,2040,Generation
PV,Fuel_low,0,$/GJ,2040,Generation
PV,CF_low,0.32,%,2040,Generation
PV,Fuel_high,0,$/GJ,2040,Generation
PV,CF_high,0.19,%,2040,Generation
PV,Economiclife,30,Years,2050,Generation
PV,Constructiontime,0.5,Years,2050,Generation
PV,Efficiency,1,%,2050,Generation
PV,FOM,12,$/kW,2050,Generation
PV,VOM,0,$/MWh,2050,Generation
PV,CCS,0,$/MWh,2050,Generation
PV,Fuel_low,0,$/GJ,2050,Generation
PV,CF_low,0.32,%,2050,Generation
PV,Fuel_high,0,$/GJ,2050,Generation
PV,CF_high,0.19,%,2050,Generation
Wind,Economiclife,25,Years,2025,Generation
Wind,Constructiontime,1,Years,2025,Generation
Wind,Efficiency,1,%,2025,Generation
Wind,FOM,28,$/kW,2025,Generation
Wind,VOM,0,$/MWh,2025,Generation
Wind,CCS,0,$/MWh,2025,Generation
Wind,Fuel_low,0,$/GJ,2025,Generation
Wind,CF_low,0.48,%,2025,Generation
Wind,Fuel_high,0,$/GJ,2025,Generation
Wind,CF_high,0.29,%,2025,Generation
Wind,Economiclife,25,Years,2030,Generation
Wind,Constructiontime,1,Years,2030,Generation
Wind,Efficiency,1,%,2030,Generation
Wind,FOM,28,$/kW,2030,Generation
Wind,VOM,0,$/MWh,2030,Generation
Wind,CCS,0,$/MWh,2030,Generation
Wind,Fuel_low,0,$/GJ,2030,Generation
Wind,CF_low,0.48,%,2030,Generation
Wind,Fuel_high,0,$/GJ,2030,Generation
Wind,CF_high,0.29,%,2030,Generation
Wind,Economiclife,25,Years,2040,Generation
Wind,Constructiontime,1,Years,2040,Generation
Wind,Efficiency,1,%,2040,Generation
Wind,FOM,28,$/kW,2040,Generation
Wind,VOM,0,$/MWh,2040,Generation
Wind,CCS,0,$/MWh,2040,Generation
Wind,Fuel_low,0,$/GJ,2040,Generation
Wind,CF_low,0.48,%,2040,Generation
Wind,Fuel_high,0,$/GJ,2040,Generation
Wind,CF_high,0.29,%,2040,Generation
Wind,Economiclife,25,Years,2050,Generation
Wind,Constructiontime,1,Years,2050,Generation
Wind,Efficiency,1,%,2050,Generation
Wind,FOM,28,$/kW,2050,Generation
Wind,VOM,0,$/MWh,2050,Generation
Wind,CCS,0,$/MWh,2050,Generation
Wind,Fuel_low,0,$/GJ,2050,Generation
Wind,CF_low,0.48,%,2050,Generation
Wind,Fuel_high,0,$/GJ,2050,Generation
Wind,CF_high,0.29,%,2050,Generation
